field,value
model,Attention
model_file,Test4_crossATTN_NOGRU.tflite
timestamp,19691231_181330
duration_s,2.259
steps,72
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.743
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,23.86205
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.856
M5_inf_p95_ms,1.346
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,29.4219
max_pos_error_in,50.7898
avg_crosstrack_in,1.6355
max_crosstrack_in,4.1959
avg_theta_error_rad,0.9715
avg_inference_ms,0.906
RMSE Cross Track,1.988
CT STD DEV,1.138
