field,value
model,AttentionGRU
model_file,Test4_crossATTN.tflite
timestamp,19691231_182315
duration_s,1.726
steps,50
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,0.940
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,13.83382
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,1.523
M5_inf_p95_ms,2.425
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,19.7975
max_pos_error_in,40.1120
avg_crosstrack_in,0.8094
max_crosstrack_in,2.6153
avg_theta_error_rad,0.3351
avg_inference_ms,1.538
RMSE Cross Track,1.150
CT STD DEV,0.826
