field,value
model,AttentionGRU
model_file,Test4_crossATTN.tflite
timestamp,19691231_185915
duration_s,1.269
steps,36
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.723
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,5.99977
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,1.542
M5_inf_p95_ms,2.628
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.5026
max_pos_error_in,24.2191
avg_crosstrack_in,0.4676
max_crosstrack_in,1.8231
avg_theta_error_rad,0.0545
avg_inference_ms,1.638
RMSE Cross Track,0.745
CT STD DEV,0.589
